KommuneNr,KommuneNavn,RegionNavn,Fylke,Innbyggere,Skriftsprak,Ordforer,Parti
1739,Røyrvik,Røyrvik,Nord-Trøndelag,503,Nøytral,ArntMickelsen,Ap
1740,Namsskogan,Namsskogan,Nord-Trøndelag,902,Nøytral,StianBrekkvassmo,Ap
1742,Grong,Grong,Nord-Trøndelag,2465,Nøytral,SkjalgÅkerøy,Ap
1743,Høylandet,Høylandet,Nord-Trøndelag,1263,Nøytral,HegeNordheim-Viken,Sp
1744,Overhalla,Ranemsletta,Nord-Trøndelag,3688,Nøytral,PerOlavTyldum,Sp
1748,Fosnes,Jøa,Nord-Trøndelag,669,Bokmål,BjørgTingstad,Sp
1749,Flatanger,Lauvsnes,Nord-Trøndelag,1158,Nøytral,OlavJørgenBjørkås,Sp
1750,Vikna,Rørvik,Nord-Trøndelag,4300,Nøytral,ReinertEidshaug,Ap
1751,Nærøy,Kolvereid,Nord-Trøndelag,5097,Bokmål,SteinarAspli,Sp
1755,Leka,Leknes,Nord-Trøndelag,574,Nøytral,PerHelgeJohansen,Sp
1804,Bodø,Bodø,Nordland,49203,Nøytral,Ole-HenrikHjartøy,Høyre
1805,Narvik,Narvik,Nordland,18509,Bokmål,ToreNysæter,Høyre
1811,Bindal,Terråk,Nordland,1545,Bokmål,PetterBjørnli,Høyre
1812,Sømna,Vik,Nordland,2033,Bokmål,EdmundDahle,Sp
1813,Brønnøy,Brønnøysund,Nordland,7859,Nøytral,KjellH.Trælnes,Sp
1815,Vega,Gladstad,Nordland,1238,Bokmål,AndreMøller,Ap
1816,Vevelstad,Vevelstad,Nordland,500,Bokmål,Ken-RichardHansen,Sp
1818,Herøy,Silvalen,Nordland,1759,Bokmål,ArntFrodeJensen,Ap
1820,Alstahaug,Sandnessjøen,Nordland,7361,Nøytral,BårdAndersLangø,Ap
1822,Leirfjord,Leland,Nordland,2144,Nøytral,MagnarJohnsen,Sp
1824,Vefsn,Mosjøen,Nordland,13252,Nøytral,Jann-ArneLøvdal,Ap
1825,Grane,Trofors,Nordland,1459,Nøytral,BjørnIvarLamo,Ap
1826,Hattfjelldal,Hattfjelldal,Nordland,1471,Nøytral,AsgeirAlmås,Ap
1827,Dønna,Solfjellsjøen,Nordland,1431,Bokmål,AnneS.Mathisen,Ap
1828,Nesna,Nesna,Nordland,1875,Bokmål,MaritBye,Høyre
1832,Hemnes,Korgen,Nordland,4620,Nøytral,KjellJoarPettersen-Øverleir,Høyre
1833,Rana,MoiRana,Nordland,25752,Nøytral,KaiHenningHenriksen,Høyre
1834,Lurøy,Lurøy,Nordland,1916,Bokmål,BjørnarSkjæran,Ap
1835,Træna,Husøy,Nordland,506,Bokmål,PerPedersen,KrF
1836,Rødøy,Vågaholmen,Nordland,1310,Nøytral,OlavTerjeHoff,Sp
1837,Meløy,Ørnes,Nordland,6582,Bokmål,PerSwensen,Høyre
1838,Gildeskål,Inndyr,Nordland,2006,Nøytral,PetterJørgenPedersen,Ap
1839,Beiarn,Moldjord,Nordland,1075,Bokmål,MonikaSande,Sp
1840,Saltdal,Rognan,Nordland,4745,Bokmål,Finn-ObertBerntsen,Ap
1841,Fauske,Fauske,Nordland,9513,Bokmål,SivAnitaJohnsen,Ap
1845,Sørfold,Straumen,Nordland,1981,Bokmål,LarsEvjenth,Ap
1848,Steigen,Leinesfjord,Nordland,2552,Bokmål,AsleSchrøder,Sp
1849,Hamarøy,Oppeid,Nordland,1791,Nøytral,RolfSteffensen,Ap
1850,Tysfjord,Kjøpsvik,Nordland,1978,Nøytral,TorAsgeirJohansen,Ap
1851,Lødingen,Lødingen,Nordland,2220,Bokmål,AnitaMarthinussen,Høyre
1852,Tjeldsund,Hol,Nordland,1278,Bokmål,BjørnarO.Pettersen,Høyre
1853,Evenes,Bogen,Nordland,1376,Bokmål,JardarJensen,Høyre
1854,Ballangen,Ballangen,Nordland,2599,Bokmål,Anne-RitaNicklasson,Høyre
1856,Røst,Røst,Nordland,565,Bokmål,Tor-ArneAndreassen,Ap
1857,Værøy,Sørland,Nordland,754,Bokmål,HaraldAdolfsen,Høyre
1859,Flakstad,Ramberg,Nordland,1376,Nøytral,SteinIversen,Sp
1860,Vestvågøy,Leknes,Nordland,10870,Nøytral,JonnyFinstad,Høyre
1865,Vågan,Svolvær,Nordland,9207,Nøytral,EivindHolst,Høyre
1866,Hadsel,Stokmarknes,Nordland,8050,Bokmål,Kjell-BørgeFreiberg,Frp
1867,Bø,Straume,Nordland,2654,Nøytral,SturePedersen,Høyre
1868,Øksnes,Myre,Nordland,4472,Nøytral,JørnMartinussen,Høyre
1870,Sortland,Sortland,Nordland,10082,Nøytral,GreteEllingsen,Høyre
1871,Andøy,Andenes,Nordland,5024,Nøytral,JonniSolsvik,Høyre
1874,Moskenes,Reine,Nordland,1118,Nøytral,LillianRasmussen,LL
1903,Harstad,Harstad,Troms,24291,Nøytral,MarianneBremnes,Ap
1902,Tromsø,Tromsø,Troms,70358,Nøytral,JensJohanHjort,Høyre
1911,Kvæfjord,Borkenes,Troms,3082,Nøytral,TorbjørnLarsen,Ap
1913,Skånland,Evenskjer,Troms,2940,Bokmål,EinarAune,Høyre
1917,Ibestad,Hamnvik,Troms,1421,Bokmål,DagBrustind,Høyre
1919,Gratangen,Årstein,Troms,1119,Nøytral,RonnyGrinstein,Sp
1920,Lavangen,Tennevoll,Troms,1012,Nøytral,ErlingBratsberg,Sp
1922,Bardu,Setermoen,Troms,3933,Nøytral,ArneNysted,Ap
1923,Salangen,Sjøvegan,Troms,2220,Nøytral,IvarPrestbakmo,Sp
1924,Målselv,Moen,Troms,6630,Nøytral,HeleneRognli,Høyre
1925,Sørreisa,Sørreisa,Troms,3407,Nøytral,PaulDahlø,Ap
1926,Dyrøy,Brøstadbotn,Troms,1190,Bokmål,RandiLillegård,Ap
1927,Tranøy,Vangsvik,Troms,1514,Nøytral,OddArneAndreassen,Ap
1928,Torsken,Gryllefjord,Troms,880,Bokmål,FredFlakstad,Ap
1929,Berg,Skaland,Troms,924,Bokmål,GuttormNergård,Venstre
1931,Lenvik,Finnsnes,Troms,11455,Nøytral,Geir-IngeSivertsen,Høyre
1933,Balsfjord,Storsteinnes,Troms,5562,Bokmål,Ole-JohanRødvei,Høyre
1936,Karlsøy,Hansnes,Troms,2317,Nøytral,HannyDitlefsen,LL
1938,Lyngen,Lyngseidet,Troms,3013,Nøytral,SølviGunnJensen,Ap
1939,Storfjord,Hatteng,Troms,1942,Nøytral,SigmundSteinnes,Ap
1940,Kåfjord,Olderdalen,Troms,2208,Bokmål,BjørnIngeMo,Ap
1941,Skjervøy,Skjervøy,Troms,2905,Bokmål,TorgeirJohnsen,Kystpartiet
1942,Nordreisa,Storslett,Troms,4850,Bokmål,LidvartJakobsen,Ap
1943,Kvænangen,Burfjord,Troms,1245,Nøytral,JanHelgeJensen,Kystpartiet
2002,Vardø,Vardø,Finnmark,2128,Nøytral,LasseHaughom,Frp
2003,Vadsø,Vadsø,Finnmark,6163,Bokmål,SveinDragnes,Ap
2004,Hammerfest,Hammerfest,Finnmark,10072,Bokmål,AlfE.Jakobsen,Ap
2011,Kautokeino,Kautokeino,Finnmark,2923,Bokmål,KlemetErlandHætta,LL
2012,Alta,Alta,Finnmark,19646,Bokmål,LailaDavidsen,Høyre
2014,Loppa,Øksfjord,Finnmark,1070,Bokmål,JanErikJensen,Kystpartiet
2015,Hasvik,Breivikbotn,Finnmark,1023,Bokmål,EvaD.Husby,Ap
2017,Kvalsund,Kvalsund,Finnmark,1036,Bokmål,RagnarOlsen,Ap
2018,Måsøy,Havøysund,Finnmark,1240,Bokmål,AnneKarinOlli,Høyre
2019,Nordkapp,Honningsvåg,Finnmark,3205,Nøytral,KristinaHansen,Ap
2020,Porsanger,Lakselv,Finnmark,3968,Bokmål,KnutRogerHanssen,Høyre
2021,Karasjok,Karasjok,Finnmark,2721,Bokmål,AnneTorilEriksenBalto,Sp
2022,Lebesby,Kjøllefjord,Finnmark,1339,Bokmål,StineAkselsen,Ap
2023,Gamvik,Mehamn,Finnmark,1063,Nøytral,IngaManndal,SV
2024,Berlevåg,Berlevåg,Finnmark,1025,Bokmål,KarstenG.Schanche,Høyre
2025,Tana,Tanabru,Finnmark,2900,Bokmål,FrankIngilæ,Ap
2027,Nesseby,Varangerbotn,Finnmark,882,Bokmål,KnutIngeStore,Ap
2028,Båtsfjord,Båtsfjord,Finnmark,2162,Nøytral,GeirKnutsen,Ap
2030,Sør-Varanger,Kirkenes,Finnmark,9968,Bokmål,CecilieHansen,Sp
